"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S730","2020-04-02 00:00:00","110.000","30.000","8.800","19.700","0.930","1006.100","","1.500","-99.000","-99.000","-99.000","24.300","","18.900",""
"C0T790","2020-04-02 00:00:00","2830.000","280.000","0.900","9.700","0.890","728.800","","1.000","-99.000","-99.000","-99.000","19.800","","8.400",""
"C0V750","2020-04-02 00:00:00","50.000","45.000","2.000","20.800","0.750","1011.800","","0.000","-99.000","-99.000","-99.000","29.200","","20.800",""
"C0K530","2020-04-02 00:00:00","12.000","36.000","4.000","18.000","0.770","1015.700","","0.500","-99.000","-99.000","-99.000","23.000","","18.000",""
"C0M780","2020-04-02 00:00:00","30.000","37.000","1.100","18.000","0.750","1013.800","","0.000","-99.000","-99.000","-99.000","26.400","","17.900",""
"C0V360","2020-04-02 00:00:00","94.000","25.000","0.600","19.700","0.740","1005.300","","0.000","-99.000","-99.000","-99.000","30.700","","19.700",""
"C0K510","2020-04-02 00:00:00","10.000","14.000","1.800","17.700","0.750","1015.200","","0.000","-99.000","-99.000","-99.000","24.600","","17.700",""
"C0D650","2020-04-02 00:00:00","97.000","56.000","3.300","16.200","0.740","1007.300","","13.000","9.100","39.000","","18.400","","15.900",""
"C0V630","2020-04-02 00:00:00","19.000","14.000","1.800","20.100","0.710","1014.100","","0.000","-99.000","-99.000","-99.000","26.600","","20.000",""
"C0U910","2020-04-02 00:00:00","17.000","294.000","2.500","16.700","0.860","1019.000","","0.000","-99.000","-99.000","-99.000","21.000","","16.500",""
"C0U600","2020-04-02 00:00:00","10.000","277.000","0.700","16.000","0.990","1019.400","","0.500","-99.000","-99.000","-99.000","22.600","","15.900",""
"C0G820","2020-04-02 00:00:00","29.000","12.000","0.300","18.000","0.790","1012.900","","0.000","-99.000","-99.000","-99.000","25.800","","18.000",""
"C0R590","2020-04-02 00:00:00","72.000","32.000","1.400","22.800","0.870","1007.800","","0.000","-99.000","-99.000","-99.000","29.700","","22.800",""
"C0A9E0","2020-04-02 00:00:00","26.000","122.000","1.200","17.500","0.700","1017.700","","2.500","-99.000","-99.000","-99.000","21.000","","16.800",""
"C0R480","2020-04-02 00:00:00","57.000","344.000","1.300","23.200","0.750","1009.000","","0.000","-99.000","-99.000","-99.000","30.500","","23.100",""
"C0X300","2020-04-02 00:00:00","70.000","21.000","0.800","18.300","0.800","1008.600","","0.000","-99.000","-99.000","-99.000","26.900","","18.300",""
"C0U970","2020-04-02 00:00:00","7.000","276.000","2.100","16.500","0.840","1021.500","","0.500","-99.000","-99.000","-99.000","21.500","","16.200",""
"C0R340","2020-04-02 00:00:00","230.000","27.000","3.000","18.400","0.980","990.800","","0.500","8.400","37.000","","28.000","","18.300",""
"C0M750","2020-04-02 00:00:00","10.000","23.000","4.000","18.100","0.730","1015.500","","0.000","-99.000","-99.000","-99.000","24.800","","18.100",""
"C0I110","2020-04-02 00:00:00","161.000","337.000","1.400","19.200","0.780","999.000","","1.000","-99.000","-99.000","-99.000","27.600","","19.200",""
"C0V370","2020-04-02 00:00:00","74.000","0.000","0.000","20.200","0.800","1008.500","","0.000","-99.000","-99.000","-99.000","28.800","","20.200",""
"C0C690","2020-04-02 00:00:00","242.000","134.000","1.200","14.900","0.740","990.700","","9.000","-99.000","-99.000","-99.000","18.400","","14.600",""
"C0A540","2020-04-02 00:00:00","401.000","0.000","0.100","13.300","0.990","973.300","","3.000","-99.000","-99.000","-99.000","18.500","","12.900",""
"C0SA60","2020-04-02 00:00:00","6.000","9.000","1.400","19.800","0.820","1018.400","","0.000","-99.000","-99.000","-99.000","27.300","","19.700",""
"C0H950","2020-04-02 00:00:00","192.000","301.000","0.600","17.900","0.830","994.800","","1.500","-99.000","-99.000","-99.000","26.700","","17.800",""
"C0O960","2020-04-02 00:00:00","112.000","10.000","1.400","19.000","0.810","1002.900","","0.000","-99.000","-99.000","-99.000","27.700","","19.000",""
"C0E880","2020-04-02 00:00:00","507.000","62.000","4.800","12.400","0.990","959.200","","0.500","-99.000","-99.000","-99.000","18.100","","12.400",""
"C0AH10","2020-04-02 00:00:00","30.000","105.000","3.600","17.200","1.000","1016.400","","5.000","-99.000","-99.000","-99.000","21.000","","16.800",""
"C0R680","2020-04-02 00:00:00","13.000","44.000","4.200","21.100","0.910","1016.200","","4.500","9.300","67.000","","27.900","","20.800",""
"C0X210","2020-04-02 00:00:00","38.000","6.000","2.200","18.300","0.800","1010.600","","0.000","-99.000","-99.000","-99.000","26.200","","18.300",""
"C0D430","2020-04-02 00:00:00","87.000","0.000","0.000","16.200","0.840","1007.300","","18.000","-99.000","-99.000","-99.000","19.600","","16.100",""
"C0AD30","2020-04-02 00:00:00","20.000","109.000","2.900","17.800","0.690","1015.400","","3.000","-99.000","-99.000","-99.000","21.300","","17.200",""
"C0R240","2020-04-02 00:00:00","87.000","5.000","0.800","23.200","0.830","1005.800","","0.000","-99.000","-99.000","-99.000","30.900","","22.000",""
"C0AI30","2020-04-02 00:00:00","26.000","90.000","4.600","17.600","0.820","1018.000","","6.500","-99.000","-99.000","-99.000","21.100","","16.200",""
"C0U960","2020-04-02 00:00:00","1885.000","201.000","2.600","8.400","0.990","816.700","","0.000","-99.000","-99.000","-99.000","17.600","","8.300",""
"C0T9E0","2020-04-02 00:00:00","415.000","5.000","0.400","14.800","0.980","973.900","","4.000","-99.000","-99.000","-99.000","20.000","","14.700",""
"C0D550","2020-04-02 00:00:00","1956.000","163.000","0.900","13.300","0.910","813.200","","9.500","-99.000","-99.000","-99.000","20.400","","12.500",""
"C0C630","2020-04-02 00:00:00","209.000","45.000","2.200","15.400","0.790","994.400","","16.500","-99.000","-99.000","-99.000","18.600","","14.500",""
"C0A640","2020-04-02 00:00:00","241.000","0.000","0.200","14.000","0.920","994.700","","6.500","-99.000","-99.000","-99.000","19.100","","13.500",""
"C0A930","2020-04-02 00:00:00","216.000","120.000","1.400","15.500","0.840","994.100","","21.000","-99.000","-99.000","-99.000","19.400","","14.000",""
"C0F9M0","2020-04-02 00:00:00","230.000","329.000","1.500","16.700","0.830","990.200","","0.500","-99.000","-99.000","-99.000","22.600","","16.200",""
"C0AC40","2020-04-02 00:00:00","1079.000","95.000","4.400","8.600","0.990","896.100","","6.500","12.100","95.000","","15.000","","7.500",""
"C0AI00","2020-04-02 00:00:00","188.000","57.000","1.300","15.500","0.910","998.800","","6.000","-99.000","-99.000","-99.000","19.700","","15.100",""
"C0T9M0","2020-04-02 00:00:00","92.000","316.000","2.400","17.200","0.990","1011.500","","7.000","-99.000","-99.000","-99.000","22.600","","17.100",""
"C0S960","2020-04-02 00:00:00","32.000","318.000","0.900","20.100","0.870","1015.600","","6.000","-99.000","-99.000","-99.000","27.200","","19.600",""
"C0K430","2020-04-02 00:00:00","30.000","9.000","1.500","17.300","0.810","1014.500","","1.500","-99.000","-99.000","-99.000","24.300","","17.300",""
"C0Z170","2020-04-02 00:00:00","199.000","67.000","1.100","17.500","1.000","999.100","","0.000","-99.000","-99.000","-99.000","23.700","","17.500",""
"C0Z100","2020-04-02 00:00:00","36.000","0.000","0.000","17.500","1.000","1018.100","","0.000","-99.000","-99.000","-99.000","22.100","","17.200",""
"C0U710","2020-04-02 00:00:00","1942.000","87.000","0.400","11.500","0.950","810.500","","0.000","-99.000","-99.000","-99.000","18.300","","10.700",""
"C0SA30","2020-04-02 00:00:00","92.000","1.000","1.100","18.600","0.860","1009.900","","0.000","-99.000","-99.000","-99.000","25.300","","18.600",""
"C0V500","2020-04-02 00:00:00","6.000","11.000","1.100","22.600","0.740","1014.200","","0.000","-99.000","-99.000","-99.000","27.200","","22.600",""
"CM0160","2020-04-02 00:00:00","159.000","7.000","0.600","17.300","0.770","1000.100","","0.000","-99.000","-99.000","-99.000","26.700","","17.300",""
"C0V350","2020-04-02 00:00:00","36.000","264.000","1.100","23.000","0.780","1013.200","","0.000","-99.000","-99.000","-99.000","30.800","","23.000",""
"C0W120","2020-04-02 00:00:00","58.000","-99.000","-99.000","19.200","0.800","1010.600","","0.000","-99.000","-99.000","-99.000","21.600","","18.900",""
"C0R470","2020-04-02 00:00:00","103.000","307.000","0.600","23.600","0.750","1005.100","","0.000","-99.000","-99.000","-99.000","30.900","","23.100",""
"C0M770","2020-04-02 00:00:00","164.000","317.000","1.000","17.700","0.830","997.300","","0.000","-99.000","-99.000","-99.000","26.000","","17.700",""
"C0S930","2020-04-02 00:00:00","248.000","0.000","0.100","17.700","0.920","992.000","","0.500","-99.000","-99.000","-99.000","25.100","","17.700",""
"C0F9Y0","2020-04-02 00:00:00","3313.000","268.000","4.100","5.900","0.900","688.200","","2.000","10.100","274.000","","11.100","","4.200",""
"C0E790","2020-04-02 00:00:00","344.000","85.000","1.300","15.600","1.000","976.800","","0.500","-99.000","-99.000","-99.000","21.900","","15.100",""
"C0O810","2020-04-02 00:00:00","161.000","205.000","0.300","20.900","0.990","998.500","","0.000","-99.000","-99.000","-99.000","31.700","","20.900",""
"C0R520","2020-04-02 00:00:00","18.000","337.000","0.700","23.600","0.840","1014.500","","0.000","-99.000","-99.000","-99.000","30.400","","23.500",""
"C0R260","2020-04-02 00:00:00","76.000","0.000","0.000","23.100","0.670","1007.300","","0.000","-99.000","-99.000","-99.000","31.300","","23.100",""
"C0U950","2020-04-02 00:00:00","1012.000","49.000","7.500","10.100","1.000","907.200","","7.500","-99.000","-99.000","-99.000","15.800","","8.700",""
"C0O860","2020-04-02 00:00:00","38.000","329.000","0.500","19.500","0.890","1011.700","","0.000","-99.000","-99.000","-99.000","27.700","","19.400",""
"C0C620","2020-04-02 00:00:00","19.000","54.000","2.000","18.300","0.750","1016.100","","8.500","-99.000","-99.000","-99.000","21.000","","17.100",""
"C0I360","2020-04-02 00:00:00","300.000","167.000","0.600","19.100","0.790","981.300","","2.000","-99.000","-99.000","-99.000","27.600","","18.300",""
"C0M810","2020-04-02 00:00:00","1354.000","251.000","0.800","16.300","0.990","868.800","","0.000","-99.000","-99.000","-99.000","22.400","","16.300",""
"C0AC80","2020-04-02 00:00:00","40.000","79.000","1.800","16.100","0.820","1015.600","","4.500","-99.000","-99.000","-99.000","20.500","","15.600",""
"CM0140","2020-04-02 00:00:00","26.000","55.000","1.400","19.700","0.770","1017.400","","8.500","-99.000","-99.000","-99.000","25.500","","18.900",""
"C0SA20","2020-04-02 00:00:00","857.000","351.000","1.900","14.100","1.000","922.700","","25.500","-99.000","-99.000","-99.000","24.000","","14.100",""
"C0K490","2020-04-02 00:00:00","91.000","0.000","0.000","18.500","0.740","1006.100","","2.000","-99.000","-99.000","-99.000","26.400","","18.100",""
"C0V820","2020-04-02 00:00:00","441.000","0.000","0.000","21.300","0.950","968.700","","0.000","-99.000","-99.000","-99.000","31.000","","21.300",""
"C0S810","2020-04-02 00:00:00","65.000","27.000","0.900","19.200","0.890","1014.600","","0.000","-99.000","-99.000","-99.000","23.900","","19.000",""
"C0R580","2020-04-02 00:00:00","10.000","298.000","1.900","23.300","0.820","1015.000","","0.000","-99.000","-99.000","-99.000","29.800","","23.100",""
"C0Z330","2020-04-02 00:00:00","488.000","349.000","1.000","15.400","0.990","966.300","","9.500","-99.000","-99.000","-99.000","20.900","","15.200",""
"C0E590","2020-04-02 00:00:00","40.000","63.000","1.800","16.400","0.780","1012.300","","0.500","-99.000","-99.000","-99.000","20.300","","16.100",""
"C0D540","2020-04-02 00:00:00","227.000","64.000","0.400","14.400","0.910","992.900","","16.500","-99.000","-99.000","-99.000","18.700","","14.300",""
"C0K420","2020-04-02 00:00:00","42.000","15.000","2.100","17.300","0.750","1012.000","","0.000","-99.000","-99.000","-99.000","24.400","","17.300",""
"C0Z180","2020-04-02 00:00:00","34.000","284.000","0.300","18.600","0.810","1016.700","","0.500","-99.000","-99.000","-99.000","22.700","","17.700",""
"C0AD10","2020-04-02 00:00:00","27.000","46.000","0.600","17.100","0.730","1016.400","","8.500","-99.000","-99.000","-99.000","20.400","","16.500",""
"C0M720","2020-04-02 00:00:00","225.000","354.000","0.500","17.200","0.820","990.700","","2.000","-99.000","-99.000","-99.000","24.900","","17.000",""
"C0V450","2020-04-02 00:00:00","51.000","10.000","1.500","23.100","0.670","1010.200","","0.000","-99.000","-99.000","-99.000","29.400","","22.300",""
"C0R280","2020-04-02 00:00:00","242.000","62.000","2.800","18.500","1.000","990.100","","9.000","8.900","35.000","","25.700","","18.500",""
"C0E610","2020-04-02 00:00:00","850.000","264.000","0.600","14.700","0.820","922.300","","2.500","-99.000","-99.000","-99.000","19.100","","12.100",""
